Date,Set,LSTM_Probability,Actual
2020-02-20,Train,0.4138386,0
2020-02-21,Train,0.41881707,0
2020-02-22,Train,0.42780173,0
2020-02-23,Train,0.43979716,0
2020-02-24,Train,0.4433065,0
2020-02-25,Train,0.4618644,1
2020-02-26,Train,0.47235322,0
2020-02-27,Train,0.4897569,0
2020-02-28,Train,0.51179576,0
2020-02-29,Train,0.5216793,0
2020-03-01,Train,0.53592014,1
2020-03-02,Train,0.53668666,0
2020-03-03,Train,0.53248894,0
2020-03-04,Train,0.5043211,1
2020-03-05,Train,0.50507706,0
2020-03-06,Train,0.48827982,0
2020-03-07,Train,0.45475975,1
2020-03-08,Train,0.42583773,0
2020-03-09,Train,0.40559575,0
2020-03-10,Train,0.41530627,0
2020-03-11,Train,0.43604416,1
2020-03-12,Train,0.45100147,1
2020-03-13,Train,0.48408705,1
2020-03-14,Train,0.5283235,1
2020-03-15,Train,0.57855344,1
2020-03-16,Train,0.6282364,1
2020-03-17,Train,0.6726978,0
2020-03-18,Train,0.7159022,1
2020-03-19,Train,0.7506354,0
2020-03-20,Train,0.77500284,0
2020-03-21,Train,0.79496795,1
2020-03-22,Train,0.8093118,1
2020-03-23,Train,0.81683725,1
2020-03-24,Train,0.8187228,0
2020-03-25,Train,0.8170861,0
2020-03-26,Train,0.8125317,1
2020-03-27,Train,0.8022107,1
2020-03-28,Train,0.7873111,1
2020-03-29,Train,0.7686707,1
2020-03-30,Train,0.7462043,0
2020-03-31,Train,0.71973914,0
2020-04-01,Train,0.688398,0
2020-04-02,Train,0.65600264,0
2020-04-03,Train,0.62845737,0
2020-04-04,Train,0.60869896,0
2020-04-05,Train,0.5964625,1
2020-04-06,Train,0.5885289,0
2020-04-07,Train,0.5806613,0
2020-04-08,Train,0.57747877,0
2020-04-09,Train,0.57864374,1
2020-04-10,Train,0.5752108,0
2020-04-11,Train,0.5787337,0
2020-04-12,Train,0.5754988,0
2020-04-13,Train,0.5630442,0
2020-04-14,Train,0.54344726,0
2020-04-15,Train,0.52342236,1
2020-04-16,Train,0.5165434,0
2020-04-17,Train,0.50859976,0
2020-04-18,Train,0.49783677,0
2020-04-19,Train,0.4741878,1
2020-04-20,Train,0.45213115,0
2020-04-21,Train,0.4366789,1
2020-04-22,Train,0.4405096,1
2020-04-23,Train,0.43388674,0
2020-04-24,Train,0.42182183,0
2020-04-25,Train,0.41536108,0
2020-04-26,Train,0.39819643,0
2020-04-27,Train,0.37067652,0
2020-04-28,Train,0.3611071,1
2020-04-29,Train,0.3545537,0
2020-04-30,Train,0.39838046,0
2020-05-01,Train,0.41856053,0
2020-05-02,Train,0.45420563,0
2020-05-03,Train,0.4829033,0
2020-05-04,Train,0.51973057,0
2020-05-05,Train,0.5637686,0
2020-05-06,Train,0.5795896,1
2020-05-07,Train,0.57171965,0
2020-05-08,Train,0.5562169,0
2020-05-09,Train,0.5429098,1
2020-05-10,Train,0.53797066,0
2020-05-11,Train,0.5438261,0
2020-05-12,Train,0.55054396,1
2020-05-13,Train,0.54996836,1
2020-05-14,Train,0.54001796,1
